customer_id,country,tier,is_active,valid_from,valid_to
C0001,AU,silver,True,2026-04-30T12:25:30+00:00,
C0002,US,basic,True,2026-04-30T12:25:30+00:00,
C0003,VN,basic,True,2026-04-30T12:25:30+00:00,
C0004,US,basic,True,2026-04-30T12:25:30+00:00,
C0005,AU,basic,True,2026-04-30T12:25:30+00:00,
C0006,SG,basic,True,2026-04-30T12:25:30+00:00,
C0007,VN,silver,True,2026-04-30T12:25:30+00:00,
C0008,VN,silver,True,2026-04-30T12:25:30+00:00,
C0009,AU,silver,True,2026-04-30T12:25:30+00:00,
C0010,VN,silver,True,2026-04-30T12:25:30+00:00,
C0011,US,basic,False,2025-04-15T12:25:30+00:00,2026-04-30T12:25:30+00:00
C0011,US,basic,True,2026-04-30T12:25:30+00:00,
C0012,AU,basic,True,2026-04-30T12:25:30+00:00,
C0013,US,silver,True,2026-04-30T12:25:30+00:00,
C0014,SG,silver,True,2026-04-30T12:25:30+00:00,
C0015,SG,basic,True,2026-04-30T12:25:30+00:00,
C0016,AU,silver,True,2026-04-30T12:25:30+00:00,
C0017,VN,silver,True,2026-04-30T12:25:30+00:00,
C0018,VN,basic,True,2026-04-30T12:25:30+00:00,
C0019,SG,basic,True,2026-04-30T12:25:30+00:00,
C0020,VN,basic,True,2026-04-30T12:25:30+00:00,
C0021,VN,basic,True,2026-04-30T12:25:30+00:00,
C0022,SG,basic,False,2025-04-15T12:25:30+00:00,2026-04-30T12:25:30+00:00
C0022,SG,basic,True,2026-04-30T12:25:30+00:00,
C0023,AU,basic,True,2026-04-30T12:25:30+00:00,
C0024,AU,gold,True,2026-04-30T12:25:30+00:00,
C0025,AU,basic,True,2026-04-30T12:25:30+00:00,
C0026,US,basic,True,2026-04-30T12:25:30+00:00,
C0027,US,basic,True,2026-04-30T12:25:30+00:00,
C0028,US,gold,True,2026-04-30T12:25:30+00:00,
C0029,VN,basic,True,2026-04-30T12:25:30+00:00,
C0030,SG,basic,True,2026-04-30T12:25:30+00:00,
C0031,AU,silver,True,2026-04-30T12:25:30+00:00,
C0032,US,basic,True,2026-04-30T12:25:30+00:00,
C0033,VN,basic,False,2025-04-15T12:25:30+00:00,2026-04-30T12:25:30+00:00
C0033,VN,basic,True,2026-04-30T12:25:30+00:00,
C0034,VN,basic,True,2026-04-30T12:25:30+00:00,
C0035,VN,basic,True,2026-04-30T12:25:30+00:00,
C0036,AU,basic,True,2026-04-30T12:25:30+00:00,
C0037,VN,silver,True,2026-04-30T12:25:30+00:00,
C0038,US,basic,True,2026-04-30T12:25:30+00:00,
C0039,AU,silver,True,2026-04-30T12:25:30+00:00,
C0040,VN,basic,True,2026-04-30T12:25:30+00:00,
C0041,VN,basic,True,2026-04-30T12:25:30+00:00,
C0042,SG,basic,True,2026-04-30T12:25:30+00:00,
C0043,VN,basic,True,2026-04-30T12:25:30+00:00,
C0044,AU,basic,False,2025-04-15T12:25:30+00:00,2026-04-30T12:25:30+00:00
C0044,AU,basic,True,2026-04-30T12:25:30+00:00,
C0045,AU,silver,True,2026-04-30T12:25:30+00:00,
C0046,SG,gold,True,2026-04-30T12:25:30+00:00,
C0047,US,silver,True,2026-04-30T12:25:30+00:00,
C0048,SG,basic,True,2026-04-30T12:25:30+00:00,
C0049,SG,gold,True,2026-04-30T12:25:30+00:00,
C0050,US,silver,True,2026-04-30T12:25:30+00:00,
C0051,VN,basic,True,2026-04-30T12:25:30+00:00,
C0052,VN,basic,True,2026-04-30T12:25:30+00:00,
C0053,VN,basic,True,2026-04-30T12:25:30+00:00,
C0054,SG,gold,True,2026-04-30T12:25:30+00:00,
C0055,AU,basic,False,2025-04-15T12:25:30+00:00,2026-04-30T12:25:30+00:00
C0055,AU,basic,True,2026-04-30T12:25:30+00:00,
C0056,US,gold,True,2026-04-30T12:25:30+00:00,
C0057,VN,silver,True,2026-04-30T12:25:30+00:00,
C0058,SG,basic,True,2026-04-30T12:25:30+00:00,
C0059,AU,basic,True,2026-04-30T12:25:30+00:00,
C0060,AU,silver,True,2026-04-30T12:25:30+00:00,
C0061,SG,basic,True,2026-04-30T12:25:30+00:00,
C0062,SG,silver,True,2026-04-30T12:25:30+00:00,
C0063,US,gold,True,2026-04-30T12:25:30+00:00,
C0064,VN,gold,True,2026-04-30T12:25:30+00:00,
C0065,VN,basic,True,2026-04-30T12:25:30+00:00,
C0066,VN,basic,False,2025-04-15T12:25:30+00:00,2026-04-30T12:25:30+00:00
C0066,VN,basic,True,2026-04-30T12:25:30+00:00,
C0067,US,basic,True,2026-04-30T12:25:30+00:00,
C0068,SG,basic,True,2026-04-30T12:25:30+00:00,
C0069,VN,basic,True,2026-04-30T12:25:30+00:00,
C0070,SG,basic,True,2026-04-30T12:25:30+00:00,
C0071,VN,basic,True,2026-04-30T12:25:30+00:00,
C0072,AU,gold,True,2026-04-30T12:25:30+00:00,
C0073,AU,silver,True,2026-04-30T12:25:30+00:00,
C0074,SG,basic,True,2026-04-30T12:25:30+00:00,
C0075,SG,basic,True,2026-04-30T12:25:30+00:00,
